Team,Packet,Temp (°C),Hum (%),Pres (hPa),Alt (m),Lat (°),Lon (°),Sat (#),ax (m/s²),ay (m/s²),az (m/s²),gx (°/s),gy (°/s),gz (°/s),UV,TVOC (ppb),eCO2 (ppm),GPS (bool)
AeroNova,7,26.14,31.12,941.79,676.08,40.327800,-3.850576,8,0.81,9.70,-1.49,-2.13,0.98,-1.41,0,0,400,1
AeroNova,8,26.14,31.11,941.81,675.87,40.327800,-3.850574,8,0.70,9.67,-1.29,-3.14,0.95,-1.88,1,0,400,1
AeroNova,9,26.13,31.09,941.77,676.22,40.327800,-3.850574,8,0.85,9.77,-1.46,-0.28,1.01,-0.22,0,0,400,1
AeroNova,10,26.13,31.10,941.78,676.10,40.327800,-3.850574,8,0.77,9.81,-1.39,-2.23,0.91,-1.50,1,0,400,1
AeroNova,11,26.14,31.09,941.78,676.14,40.327800,-3.850574,8,0.77,9.77,-1.45,-2.24,0.97,-0.90,0,0,400,1
AeroNova,12,26.14,31.09,941.79,676.04,40.327823,-3.850575,8,0.77,9.80,-1.46,-1.85,1.08,-1.22,0,0,400,1
AeroNova,13,26.13,31.10,941.78,676.13,40.327823,-3.850575,8,0.79,9.73,-1.50,-1.76,1.05,-1.43,0,0,400,1
AeroNova,14,26.13,31.12,941.81,675.88,40.327823,-3.850575,9,0.78,9.77,-1.43,-1.66,0.85,-1.36,0,0,400,1
AeroNova,15,26.12,31.18,941.78,676.18,40.327823,-3.850575,9,0.75,9.75,-1.47,-1.69,0.98,-1.15,0,0,400,1
AeroNova,16,26.12,31.21,941.78,676.09,40.327823,-3.850575,9,0.75,9.75,-1.46,-1.81,0.96,-1.28,0,0,400,1
AeroNova,17,26.11,31.22,941.80,675.99,40.327823,-3.850575,9,0.79,9.69,-1.50,-1.66,1.09,-1.16,0,0,400,1
AeroNova,18,26.12,31.21,941.80,675.97,40.327823,-3.850575,9,0.74,9.74,-1.39,-1.81,0.92,-1.29,0,0,400,1
AeroNova,19,26.12,31.20,941.80,675.97,40.327823,-3.850575,9,0.80,9.71,-1.39,-1.75,0.76,-1.22,0,0,400,1
AeroNova,20,26.12,31.18,941.78,676.14,40.327823,-3.850575,9,0.81,9.76,-1.44,-1.76,0.95,-1.21,0,0,400,1
AeroNova,21,26.12,31.16,941.78,676.16,40.327831,-3.850568,9,0.75,9.74,-1.47,-1.74,0.99,-1.40,0,0,400,1
AeroNova,22,26.12,31.12,941.75,676.42,40.327831,-3.850568,9,0.80,9.73,-1.48,-1.93,0.99,-1.45,0,0,400,1
AeroNova,23,26.11,31.10,941.76,676.33,40.327831,-3.850568,9,0.79,9.75,-1.38,-1.78,0.87,-1.26,0,0,400,1
AeroNova,24,26.12,31.08,941.79,676.01,40.327831,-3.850568,9,0.78,9.63,-1.50,-1.61,0.86,-1.09,0,0,400,1
AeroNova,25,26.13,31.07,941.79,676.01,40.327831,-3.850568,9,0.76,9.81,-1.45,-1.73,0.74,-1.23,0,0,400,1
AeroNova,26,26.13,31.01,941.77,676.26,40.327831,-3.850568,9,0.78,9.77,-1.45,-1.81,0.92,-1.48,0,0,400,1
AeroNova,27,26.13,31.01,941.77,676.14,40.327831,-3.850568,9,0.86,9.69,-1.38,-1.99,1.05,-1.37,0,0,400,1
AeroNova,28,26.13,31.00,941.77,676.23,40.327831,-3.850568,9,0.80,9.71,-1.51,-1.62,0.69,-1.08,0,0,400,1
AeroNova,29,26.14,30.98,941.78,676.17,40.327831,-3.850568,9,0.77,9.66,-1.48,-1.72,0.92,-1.28,0,0,400,1
